student_id,date_registered,f2p,total_minutes_watched,buckets
258798,2022-01-01,0,0.28,"(0, 5]"
258799,2022-01-01,0,0,[0]
258800,2022-01-01,1,0,[0]
258801,2022-01-01,0,0,[0]
258802,2022-01-01,0,0,[0]
258803,2022-01-01,1,62.57,"(60, 70]"
258804,2022-01-01,0,14.18,"(10, 15]"
258805,2022-01-01,0,0,[0]
258806,2022-01-01,0,0,[0]
258807,2022-01-01,0,1.82,"(0, 5]"
258808,2022-01-01,0,0,[0]
258809,2022-01-01,0,53.22,"(50, 60]"
258810,2022-01-01,0,3.23,"(0, 5]"
258811,2022-01-01,0,41.88,"(40, 50]"
258812,2022-01-01,0,2.2,"(0, 5]"
258813,2022-01-01,0,2.1,"(0, 5]"
258814,2022-01-01,0,8.72,"(5, 10]"
258815,2022-01-01,0,28.98,"(25, 30]"
258816,2022-01-01,0,0.81,"(0, 5]"
258817,2022-01-01,0,0.38,"(0, 5]"
258818,2022-01-01,1,12.84,"(10, 15]"
258819,2022-01-01,0,6.58,"(5, 10]"
258820,2022-01-01,0,0,[0]
258821,2022-01-01,0,0,[0]
258822,2022-01-01,1,50.02,"(50, 60]"
258823,2022-01-01,0,0,[0]
258824,2022-01-01,0,1.32,"(0, 5]"
258825,2022-01-01,0,0,[0]
258826,2022-01-01,0,0.27,"(0, 5]"
258827,2022-01-01,0,0.3,"(0, 5]"
258828,2022-01-01,0,0.4,"(0, 5]"
258829,2022-01-01,0,12.52,"(10, 15]"
258830,2022-01-01,0,0.93,"(0, 5]"
258831,2022-01-01,0,0.08,"(0, 5]"
258832,2022-01-01,1,71.17,"(70, 80]"
258833,2022-01-01,0,1.28,"(0, 5]"
258834,2022-01-01,0,21.85,"(20, 25]"
258835,2022-01-01,0,0,[0]
258836,2022-01-01,0,0,[0]
258837,2022-01-01,0,35.72,"(30, 40]"
258838,2022-01-01,0,0,[0]
258839,2022-01-01,0,0,[0]
258840,2022-01-01,0,42.12,"(40, 50]"
258841,2022-01-01,0,0.57,"(0, 5]"
258842,2022-01-01,0,0,[0]
258843,2022-01-01,0,0,[0]
258844,2022-01-01,0,0,[0]
258845,2022-01-01,0,1556.05,"(1000, 2000]"
258846,2022-01-01,0,6.88,"(5, 10]"
258847,2022-01-01,0,0,[0]
258848,2022-01-01,0,0.05,"(0, 5]"
258849,2022-01-01,0,12.03,"(10, 15]"
258850,2022-01-01,0,0,[0]
258851,2022-01-01,0,6.58,"(5, 10]"
258852,2022-01-01,0,0.07,"(0, 5]"
258853,2022-01-01,0,0,[0]
258854,2022-01-01,0,0,[0]
258855,2022-01-01,0,0.15,"(0, 5]"
258856,2022-01-01,0,0,[0]
258857,2022-01-01,0,0.75,"(0, 5]"
258858,2022-01-01,0,0,[0]
258859,2022-01-01,0,0,[0]
258860,2022-01-01,0,12.18,"(10, 15]"
258861,2022-01-01,0,21.54,"(20, 25]"
258862,2022-01-01,1,40.53,"(40, 50]"
258863,2022-01-01,0,415.73,"(240, 480]"
258864,2022-01-01,0,0,[0]
258865,2022-01-01,1,67.53,"(60, 70]"
258866,2022-01-01,0,0,[0]
258867,2022-01-01,0,0,[0]
258868,2022-01-01,0,0,[0]
258869,2022-01-01,0,1.2,"(0, 5]"
258870,2022-01-01,0,4.7,"(0, 5]"
258871,2022-01-01,0,2.22,"(0, 5]"
258872,2022-01-01,0,63.82,"(60, 70]"
258873,2022-01-01,0,0,[0]
258874,2022-01-01,0,0,[0]
258875,2022-01-01,0,0,[0]
258876,2022-01-01,0,73.52,"(70, 80]"
258877,2022-01-01,0,0,[0]
258878,2022-01-01,1,0,[0]
258879,2022-01-01,0,1.18,"(0, 5]"
258880,2022-01-01,0,73.16,"(70, 80]"
258881,2022-01-01,0,1.85,"(0, 5]"
258882,2022-01-01,0,0.5,"(0, 5]"
258883,2022-01-01,1,0,[0]
258884,2022-01-01,0,0.25,"(0, 5]"
258885,2022-01-01,0,61.67,"(60, 70]"
258886,2022-01-01,0,0,[0]
258887,2022-01-01,0,0.07,"(0, 5]"
258888,2022-01-01,0,0.67,"(0, 5]"
258889,2022-01-01,0,0,[0]
258890,2022-01-01,0,1.2,"(0, 5]"
258891,2022-01-01,0,0,[0]
258892,2022-01-01,0,11.16,"(10, 15]"
258893,2022-01-01,0,25.25,"(25, 30]"
258894,2022-01-01,0,61.97,"(60, 70]"
258895,2022-01-01,0,11.2,"(10, 15]"
258896,2022-01-01,0,0,[0]
258897,2022-01-01,0,0.1,"(0, 5]"
258898,2022-01-01,0,0,[0]
258899,2022-01-01,0,0,[0]
258900,2022-01-01,0,0,[0]
258901,2022-01-01,0,0,[0]
258902,2022-01-01,0,18.85,"(15, 20]"
258903,2022-01-01,0,9.28,"(5, 10]"
258904,2022-01-01,0,218.96,"(120, 240]"
258905,2022-01-01,0,3.58,"(0, 5]"
258906,2022-01-01,0,250.38,"(240, 480]"
258907,2022-01-01,0,12.25,"(10, 15]"
258908,2022-01-01,1,15.03,"(15, 20]"
258909,2022-01-01,0,0,[0]
258910,2022-01-02,0,6.62,"(5, 10]"
258911,2022-01-02,0,0,[0]
258912,2022-01-02,0,15.46,"(15, 20]"
258913,2022-01-02,1,45.52,"(40, 50]"
258914,2022-01-02,0,2.78,"(0, 5]"
258915,2022-01-02,0,40.63,"(40, 50]"
258916,2022-01-02,1,0,[0]
258917,2022-01-02,0,6.55,"(5, 10]"
